Loading configuration file "../inputs/tiny.inp" ...
Initializing simulation state ...
# x y z u v w
5.0287 1.36397 0.705319 -0.0261056 0.0260131 0.0163174
4.97237 1.33003 0.685926 -0.00602924 0.0169736 0.0166762
5.08185 1.44279 0.7423 -0.0343282 0.0360711 0.011073
5.06354 1.79663 0.941422 -0.0331078 -0.065 -0.0534224
5.01649 1.3731 1.14689 -0.0224598 0.0281668 0.0434968
4.99909 1.54794 1.04421 -0.0164665 0.00747148 -0.0320417
4.81201 1.57708 0.931139 0.0367021 -0.00799992 -0.0521009
4.88198 1.82065 0.807515 0.0274888 -0.0516776 -0.00976062
4.94356 1.84973 0.890471 0.00580855 -0.0286454 -0.0421318
4.91338 1.34291 1.16664 0.0174925 0.0205274 0.0604269
4.86218 1.46483 0.771692 0.0321335 0.0343435 0.00315778
5.09774 1.25944 1.24756 -0.0338116 0.000743813 0.149846
5.33038 1.37199 0.651209 0.113169 0.0279144 0.0127172
4.86417 1.55916 0.867715 0.0317345 0.00176604 -0.0340824
5.23911 1.55163 1.08024 0.0359758 0.00563561 -0.00983457
4.83337 1.75677 0.634946 0.036106 -0.0761938 0.00802
4.84899 1.28329 0.73576 0.0343863 0.0048905 0.0124104
4.97241 1.79765 0.786485 -0.00604902 -0.0645361 -0.00183032
4.79869 1.55558 1.12561 0.0359958 0.00362591 0.0254615
4.91945 1.30831 0.878129 0.0152655 0.0110172 -0.0379275
4.76842 1.81141 1.20351 0.0308198 -0.0573958 0.0915847
5.01194 1.42387 1.19385 -0.0209723 0.0357674 0.0834662
5.09798 1.61969 0.745615 -0.033792 -0.0327416 0.0103323
5.0997 1.6998 1.0855 -0.0336412 -0.0704714 -0.00609067
4.82589 1.83442 1.04036 0.0365506 -0.0417525 -0.0340102
5.24942 1.86931 0.945367 0.0444651 -0.00788728 -0.0537804
4.78817 1.70783 0.978763 0.0348132 -0.0726405 -0.053213
5.01046 1.64676 1.23725 -0.0204786 -0.0478615 0.124519
4.80539 1.61696 1.22116 0.0364575 -0.0311604 0.106958
5.22085 1.76391 1.17376 0.0215932 -0.0751698 0.0664961
5.18924 1.41902 0.805846 -0.000490784 0.035441 -0.00910351
5.00578 1.66182 1.04142 -0.0188654 -0.0554861 -0.0334753
5.28841 1.37571 1.12501 0.0776577 0.0287468 0.0249598
5.27286 1.56588 0.88496 0.0643297 -0.00181313 -0.0403076
5.13168 1.54024 0.637315 -0.027456 0.0111607 0.00890884
4.82258 1.44752 1.13936 0.0366669 0.0358947 0.0370687
4.85882 1.45701 0.753563 0.0327752 0.0352219 0.00839127
4.97202 1.68128 1.23224 -0.00588973 -0.0640452 0.118174
4.76816 1.5769 1.20123 0.0307462 -0.00790106 0.0896595
5.34037 1.66853 0.995182 0.121753 -0.0586199 -0.0504257
5.06521 1.68486 1.18592 -0.0332953 -0.0654324 0.076798
4.88389 1.80246 1.12674 0.0269647 -0.0622262 0.0264047
5.01834 1.56243 1.08342 -0.0230428 3.97623e-05 -0.00758386
5.15497 1.31288 0.753476 -0.0188951 0.0122438 0.00841356
